Time,Temp (F)
00:00:00,37
00:30:00,37
01:00:00,36
01:30:00,37
02:00:00,37
02:30:00,37
03:00:00,38
03:30:00,39
04:00:00,40
04:30:00,40
05:00:00,40
05:30:00,39
06:00:00,39
06:30:00,40
07:00:00,39
07:30:00,39
08:00:00,39
08:30:00,39
09:00:00,39
09:30:00,39
10:00:00,39
10:30:00,40
11:00:00,41
11:30:00,41
12:00:00,41
12:30:00,41
13:00:00,41
13:30:00,41
14:00:00,41
14:30:00,40
15:00:00,40
15:30:00,40
16:00:00,40
16:30:00,41
17:00:00,41
17:30:00,41
18:00:00,41
18:30:00,41
19:00:00,42
19:30:00,42
20:00:00,42
20:30:00,42
21:00:00,42
21:30:00,42
22:00:00,42
22:30:00,42
23:00:00,42
23:30:00,42
