Time,RegA
0:00:00,-0.2155
0:00:02,-0.23133
0:00:04,-0.24689
0:00:06,-0.26235
0:00:08,-0.27784
0:00:10,-0.29342
0:00:12,-0.30881
0:00:14,-0.32408
0:00:16,-0.33922
0:00:18,-0.35425
0:00:20,-0.35805
0:00:22,-0.38039
0:00:24,-0.39907
0:00:26,-0.41394
0:00:28,-0.42878
0:00:30,-0.44361
0:00:32,-0.45854
0:00:34,-0.47332
0:00:36,-0.48826
0:00:38,-0.50329
0:00:40,-0.51821
0:00:42,-0.53323
0:00:44,-0.54827
0:00:46,-0.56334
0:00:48,-0.57817
0:00:50,-0.59273
0:00:52,-0.60707
0:00:54,-0.62133
0:00:56,-0.63531
0:00:58,-0.64915
0:01:00,-0.66286
0:01:02,-0.67633
0:01:04,-0.68963
0:01:06,-0.70276
0:01:08,-0.71578
0:01:10,-0.72847
0:01:12,-0.74054
0:01:14,-0.752
0:01:16,-0.76281
0:01:18,-0.77319
0:01:20,-0.77579
0:01:22,-0.79024
0:01:24,-0.80188
0:01:26,-0.81093
0:01:28,-0.81975
0:01:30,-0.82833
0:01:32,-0.83665
0:01:34,-0.84447
0:01:36,-0.85174
0:01:38,-0.85861
0:01:40,-0.86495
0:01:42,-0.87079
0:01:44,-0.87625
0:01:46,-0.87758
0:01:48,-0.88428
0:01:50,-0.88934
0:01:52,-0.89265
0:01:54,-0.89564
0:01:56,-0.89856
0:01:58,-0.90143
0:02:00,-0.90421
0:02:02,-0.90694
0:02:04,-0.90963
0:02:06,-0.91227
0:02:08,-0.91476
0:02:10,-0.9173
0:02:12,-0.91985
0:02:14,-0.92237
0:02:16,-0.923
0:02:18,-0.92675
0:02:20,-0.92799
0:02:22,-0.93149
0:02:24,-0.9343
0:02:26,-0.9365
0:02:28,-0.93854
0:02:30,-0.94024
0:02:32,-0.94171
0:02:34,-0.94313
0:02:36,-0.94452
0:02:38,-0.94587
0:02:40,-0.94722
0:02:42,-0.94862
0:02:44,-0.95013
0:02:46,-0.95171
0:02:48,-0.95339
0:02:50,-0.95518
0:02:52,-0.95708
0:02:54,-0.95906
0:02:56,-0.96106
0:02:58,-0.96299
0:03:00,-0.96487
0:03:02,-0.96669
0:03:04,-0.96842
0:03:06,-0.97007
0:03:08,-0.97165
0:03:10,-0.97321
0:03:12,-0.97476
0:03:14,-0.97627
0:03:16,-0.97762
0:03:18,-0.97869
0:03:20,-0.97894
0:03:22,-0.97997
0:03:24,-0.98082
0:03:26,-0.98161
0:03:28,-0.98248
0:03:30,-0.98342
0:03:32,-0.98439
0:03:34,-0.98547
0:03:36,-0.98678
