Time,RegD
0:00:00,0.00633
0:00:02,0.00628
0:00:04,-0.00434
0:00:06,-0.01892
0:00:08,-0.04334
0:00:10,-0.07157
0:00:12,-0.09979
0:00:14,-0.13112
0:00:16,-0.16364
0:00:18,-0.19615
0:00:20,-0.22867
0:00:22,-0.26119
0:00:24,-0.29371
0:00:26,-0.32622
0:00:28,-0.34946
0:00:30,-0.36929
0:00:32,-0.38911
0:00:34,-0.40184
0:00:36,-0.41182
0:00:38,-0.4218
0:00:40,-0.43177
0:00:42,-0.43439
0:00:44,-0.43426
0:00:46,-0.43414
0:00:48,-0.42454
0:00:50,-0.41137
0:00:52,-0.39819
0:00:54,-0.38502
0:00:56,-0.37184
0:00:58,-0.35867
0:01:00,-0.34549
0:01:02,-0.32724
0:01:04,-0.30705
0:01:06,-0.28687
0:01:08,-0.26668
0:01:10,-0.26106
0:01:12,-0.24892
0:01:14,-0.23234
0:01:16,-0.21577
0:01:18,-0.1992
0:01:20,-0.18631
0:01:22,-0.17482
0:01:24,-0.16115
0:01:26,-0.14665
0:01:28,-0.13524
0:01:30,-0.125
0:01:32,-0.11477
0:01:34,-0.10453
0:01:36,-0.09429
0:01:38,-0.07864
0:01:40,-0.06101
0:01:42,-0.04337
0:01:44,-0.02574
0:01:46,-0.0081
0:01:48,0.00954
0:01:50,0.02717
0:01:52,0.04481
0:01:54,0.06597
0:01:56,0.08842
0:01:58,0.11088
0:02:00,0.13333
0:02:02,0.15668
0:02:04,0.18037
0:02:06,0.20406
0:02:08,0.22774
0:02:10,0.24362
0:02:12,0.25658
0:02:14,0.26954
0:02:16,0.28249
0:02:18,0.29281
0:02:20,0.30216
0:02:22,0.3115
0:02:24,0.32084
0:02:26,0.33018
0:02:28,0.3452
0:02:30,0.36234
0:02:32,0.37947
0:02:34,0.3966
0:02:36,0.42106
0:02:38,0.44828
0:02:40,0.4755
0:02:42,0.49512
0:02:44,0.51564
0:02:46,0.54415
0:02:48,0.57206
0:02:50,0.59975
0:02:52,0.62744
0:02:54,0.6607
0:02:56,0.69609
0:02:58,0.73149
0:03:00,0.76689
0:03:02,0.80228
0:03:04,0.82814
0:03:06,0.85042
0:03:08,0.8727
0:03:10,0.89095
0:03:12,0.90768
0:03:14,0.92441
0:03:16,0.94113
0:03:18,0.95786
0:03:20,0.97459
0:03:22,0.99132
0:03:24,0.99578
0:03:26,0.99561
0:03:28,0.99545
0:03:30,0.99528
0:03:32,0.99512
0:03:34,0.99495
0:03:36,0.99479
0:03:38,0.99462
0:03:40,0.99446
0:03:42,0.99429
0:03:44,0.99412
0:03:46,0.99396
0:03:48,0.99379
0:03:50,0.99363
0:03:52,0.99346
0:03:54,0.9933
0:03:56,0.98607
0:03:58,0.97624
0:04:00,0.96641
0:04:02,0.95141
0:04:04,0.93449
0:04:06,0.91758
0:04:08,0.90067
0:04:10,0.88375
0:04:12,0.86684
0:04:14,0.84993
0:04:16,0.83301
0:04:18,0.8161
0:04:20,0.7994
0:04:22,0.78279
0:04:24,0.76618
0:04:26,0.74957
0:04:28,0.73296
0:04:30,0.71635
0:04:32,0.69974
0:04:34,0.68313
0:04:36,0.66652
0:04:38,0.64991
0:04:40,0.6333
0:04:42,0.61633
0:04:44,0.59922
0:04:46,0.58212
0:04:48,0.56501
0:04:50,0.5479
0:04:52,0.5308
0:04:54,0.51923
0:04:56,0.50974
0:04:58,0.50026
0:05:00,0.49078
0:05:02,0.48129
0:05:04,0.47181
0:05:06,0.46604
0:05:08,0.4617
0:05:10,0.45736
0:05:12,0.45302
0:05:14,0.44868
0:05:16,0.44435
0:05:18,0.44001
0:05:20,0.43567
0:05:22,0.43573
0:05:24,0.43747
0:05:26,0.4392
0:05:28,0.44094
0:05:30,0.44268
0:05:32,0.44442
0:05:34,0.44615
0:05:36,0.44668
0:05:38,0.44676
0:05:40,0.44684
0:05:42,0.44691
0:05:44,0.44699
0:05:46,0.44706
0:05:48,0.44714
0:05:50,0.44721
0:05:52,0.44729
